Metrics,MultinomialNB,SVC,RandomForest,LogisticRegression,MLP,All-miniLM,DistilBERT,DistilRoBERTa
Accuracy,0.331296992481203,0.6823223509702638,0.4121224397199897,0.7757557438024769,0.6766820067409904,0.6475543,0.77843189,0.7820527
Weighted-F1,0.5244050525636352,0.7084807843862542,0.3442897309776566,0.6622835815165227,0.7522883095118389,0.6820589,0.7948137,0.801566
Micro-F1,0.596,0.7,0.344,0.668,0.756,0.703,0.808,0.81099999
Macro-F1,0.3374360632962008,0.6719450270183899,0.283832389946941,0.5900274131375507,0.6466153885550759,0.552629,0.70647042,0.707505643
